Node-Id,Node-Title,inDegreeCentrality-3-Twitter JSON all_filtered,inDegreeCentrality-3-Twitter JSON all_filtered-unscaled,
"LAT: 40.67250, LON: -73.95679","Brooklyn, NY",3.407e-05,29,
"LAT: 32.35512, LON: -90.07111","Mississippi, USA",0,1,
"LAT: 32.08110, LON: -81.09110","Savannah, GA",0,1,
"LAT: 34.53310, LON: 69.16610",Afghanistan,0,1,
"LAT: 38.88604, LON: -76.99953","Washington, DC",2.349e-06,2,
"LAT: 40.71420, LON: -74.00640","Manhattan, NY",4.699e-06,4,
"LAT: 38.97009, LON: -95.23489","Kansas, USA",0,1,
"LAT: 38.88973, LON: -77.00704","Washington, DC",2.584e-05,22,
"LAT: 37.79210, LON: -122.39395","San Francisco, CA",0,1,
"LAT: 38.90169, LON: -77.06006","Washington, DC",0,1,
"LAT: 38.89510, LON: -77.03670","Washington, DC",2.819e-05,24,
"LAT: 38.89374, LON: -77.02390","Washington, DC",2.349e-06,2,
"LAT: 38.89580, LON: -77.03070","Washington, DC",0,1,
"LAT: 39.12000, LON: -78.00000","Virginia, USA",0,1,
"LAT: 37.79347, LON: -122.38270","California, USA",0,1,
"LAT: 37.84280, LON: -122.24600","Oakland, CA",0,1,
"LAT: 29.14184, LON: -81.13175","Florida, USA",0,1,
"LAT: 33.75532, LON: -84.32580","Atlanta, GA",0,1,
"LAT: 39.69888, LON: -77.32676","Emmitsburg, MD",0,1,
"LAT: 38.89598, LON: -77.05507","Washington, DC",0,1,
"LAT: 38.90044, LON: -77.02464","Washington, DC",0,1,
"LAT: 35.08533, LON: -106.60555","Albuquerque, NM",0,1,
"LAT: 38.90135, LON: -77.01026","Washington, DC",0,1,
"LAT: 18.00000, LON: -66.61670","Canas Urbano, USA",2.349e-06,2,
"LAT: 30.26580, LON: -97.73569","Austin, TX",0,1,
"LAT: 30.26525, LON: -97.73858","Austin, TX",0,1,
"LAT: 40.76188, LON: -73.96826","Manhattan, NY",0,1,
"LAT: 38.89465, LON: -77.07012","Arlington, VA",0,1,
"LAT: 38.57655, LON: -121.49266","Sacramento, CA",1.410e-05,12,
"LAT: 38.90702, LON: -77.02395","Washington, DC",0,1,
"LAT: 38.90630, LON: -77.02406","Washington, DC",2.349e-06,2,
"LAT: 38.82933, LON: -77.30955","George Mason, VA",0,1,
"LAT: 38.91244, LON: -77.04463","Washington, DC",0,1,
"LAT: 42.94779, LON: -78.85566","Buffalo, NY",0,1,
"LAT: 42.94778, LON: -78.85564","Buffalo, NY",0,1,
"LAT: 42.89931, LON: -78.88665","Buffalo, NY",0,1,
"LAT: 42.89937, LON: -78.88677","Buffalo, NY",0,1,
"LAT: 42.90222, LON: -78.86886","Buffalo, NY",0,1,
"LAT: 4.62720, LON: -74.07180","Bogotá, D.C., Colombia",0,1,
"LAT: 40.75988, LON: -73.97976","Manhattan, NY",0,1,
"LAT: 37.41802, LON: -122.20109","California, USA",0,1,
"LAT: 38.90000, LON: -77.03000","Washington, DC",0,1,
"LAT: 42.07161, LON: -87.69496","Wilmette, IL",0,1,
"LAT: 40.76250, LON: -73.97508","Manhattan, NY",0,1,
"LAT: 40.92698, LON: -73.83813","Mount Vernon, NY",0,1,
"LAT: 38.88833, LON: -77.02292","Washington, DC",2.349e-06,2,
"LAT: 13.69000, LON: -89.19000","Aguilares, El Salvador",3.524e-06,3,
"LAT: 8.97540, LON: -79.50705",Panama,0,1,
"LAT: 12.13640, LON: -86.25140",Nicaragua,0,1,
"LAT: 37.75560, LON: 128.89600","Gangneung-si, Republic of Korea",0,1,
"LAT: 38.94214, LON: -77.28289","Wolf Trap, VA",0,1,
"LAT: 51.47158, LON: -0.37403","Hounslow, London",0,1,
"LAT: 38.91130, LON: -77.03818","Washington, DC",0,1,
"LAT: 39.09378, LON: -77.13306","Rockville, MD",0,1,
"LAT: 34.05644, LON: -86.68947","Alabama, USA",0,1,
"LAT: 16.64590, LON: -97.65300","Santa Cruz Itundujia, Oaxaca",0,1,
"LAT: 51.54325, LON: -0.06319","Hackney, London",0,1,
"LAT: 51.54329, LON: -0.06313","Hackney, London",0,1,
"LAT: 51.54324, LON: -0.06319","Hackney, London",0,1,
"LAT: 51.51440, LON: -0.12624","Camden Town, London",0,1,
"LAT: 51.51910, LON: -0.12798","Camden Town, London",0,1,
"LAT: 40.77320, LON: -73.98038","Manhattan, NY",0,1,
"LAT: 42.21199, LON: -83.35593","Romulus, MI",0,1,
"LAT: 19.27669, LON: -81.25064",Cayman Islands,0,1,
"LAT: 19.33333, LON: -81.21667","LAT: 19.33333, LON: -81.21667",9.397e-06,8,
"LAT: 19.27664, LON: -81.25053",Cayman Islands,4.699e-06,4,
"LAT: 19.30350, LON: -81.38287",Cayman Islands,0,1,
"LAT: 19.35000, LON: -81.20000",Cayman Islands,9.397e-06,8,
"LAT: 19.32003, LON: -81.08635",Cayman Islands,3.524e-06,3,
"LAT: 19.30638, LON: -81.09414",Cayman Islands,0,1,
"LAT: 19.30000, LON: -81.11670",Cayman Islands,2.349e-06,2,
"LAT: 37.66786, LON: 128.70671","Pyeongchang-gun, Republic of Korea",0,1,
"LAT: 38.90689, LON: -77.02419","Washington, DC",0,1,
"LAT: 38.93000, LON: -77.11440","Washington, DC",0,1,
"LAT: 37.82280, LON: -80.43530","Lewisburg, WV",0,1,
"LAT: 38.90064, LON: -77.02487","Washington, DC",0,1,
"LAT: 18.02549, LON: -67.17393","Boquerón, Puerto Rico",0,1,
"LAT: 39.07863, LON: -76.92073","Konterra, MD",0,1,
"LAT: 28.47299, LON: -81.46575","Orlando, FL",0,1,
"LAT: 28.47621, LON: -81.46266","Orlando, FL",2.349e-06,2,
"LAT: 33.93366, LON: -118.39681","Los Angeles, CA",0,1,
"LAT: 38.94252, LON: -77.07757","Washington, DC",1.292e-05,11,
"LAT: 40.72076, LON: -74.00076","Manhattan, NY",8.223e-06,7,
"LAT: 26.30520, LON: -80.11980","Deerfield Beach, FL",0,1,
"LAT: 38.95190, LON: -77.01960","Washington, DC",0,1,
"LAT: 38.80472, LON: -77.04722","Alexandria, VA",0,1,
"LAT: 38.89721, LON: -77.02095","Washington, DC",0,1,
"LAT: 39.37900, LON: -76.70510","Pikesville, MD",3.524e-06,3,
"LAT: 38.93086, LON: -76.96701","Washington, DC",0,1,
"LAT: 26.70148, LON: -80.04021","Palm Beach, FL",0,1,
"LAT: 26.71000, LON: -80.06440","West Palm Beach, FL",0,1,
"LAT: 33.12480, LON: -117.08100","Escondido, CA",0,1,
"LAT: 40.78694, LON: -73.97528","Manhattan, NY",0,1,
"LAT: 35.26297, LON: -120.67214","Carpinteria, CA",0,1,
"LAT: 40.03720, LON: -75.34920","Radnor Township, PA",0,1,
"LAT: 39.94487, LON: -75.15917","Philadelphia, PA",0,1,
"LAT: 38.91739, LON: -77.04130","Washington, DC",0,1,
"LAT: 38.89000, LON: -77.02361","Washington, DC",4.699e-06,4,
"LAT: 40.75848, LON: -73.98196","Manhattan, NY",3.524e-06,3,
"LAT: 38.94016, LON: -77.06074","Washington, DC",7.048e-06,6,
"LAT: 38.89750, LON: -77.00621","Washington, DC",2.349e-06,2,
"LAT: 38.89684, LON: -77.03660","Washington, DC",8.223e-06,7,
"LAT: 38.90269, LON: -77.04945","Washington, DC",3.524e-06,3,
"LAT: 43.75501, LON: -87.71804","Sheboygan, WI",0,1,
"LAT: 38.90085, LON: -77.01216","Washington, DC",0,1,
"LAT: 38.88407, LON: -77.02937","Washington, DC",0,1,
"LAT: 26.13360, LON: -80.11330","Fort Lauderdale, FL",0,1,
"LAT: 40.71249, LON: -73.96889","Brooklyn, NY",1.292e-05,11,
"LAT: 40.76846, LON: -73.96903","Manhattan, NY",0,1,
"LAT: 41.28000, LON: -73.87000","Croton-on-Hudson, NY",2.349e-06,2,
"LAT: 40.70651, LON: -74.01100","Manhattan, NY",9.397e-06,8,
"LAT: 40.00099, LON: -75.13546","Philadelphia, PA",0,1,
"LAT: 38.91089, LON: -77.04743","Washington, DC",0,1,
"LAT: 39.00420, LON: -77.01900","Silver Spring, MD",0,1,
"LAT: 37.56457, LON: -77.45739","Richmond, VA",0,1,
"LAT: 45.52000, LON: -122.68200","Portland, OR",0,1,
"LAT: 45.54530, LON: -122.73600","Forest Park, Portland",0,1,
"LAT: 45.52380, LON: -122.94300","Hillsboro, OR",2.349e-06,2,
"LAT: 45.52744, LON: -122.69830","Portland, OR",0,1,
"LAT: 38.23670, LON: -76.49750","California, MD",0,1,
"LAT: 38.25222, LON: -76.56361","Maryland, USA",2.349e-06,2,
"LAT: 38.27716, LON: -76.46608","California, MD",0,1,
"LAT: 38.90951, LON: -77.01812","Washington, DC",0,1,
"LAT: 38.92830, LON: -77.17540","McLean, VA",0,1,
"LAT: 38.90674, LON: -77.06325","Washington, DC",2.349e-06,2,
"LAT: 34.02079, LON: -118.28759","Los Angeles, CA",7.048e-06,6,
"LAT: 40.76241, LON: -73.98996","Manhattan, NY",0,1,
"LAT: 38.85259, LON: -77.04252","Arlington, VA",0,1,
"LAT: 25.78770, LON: -80.22410","Miami, FL",0,1,
"LAT: 38.89970, LON: -106.96500","Colorado, USA",0,1,
"LAT: 38.89817, LON: -77.00818","Washington, DC",0,1,
"LAT: 38.89156, LON: -77.00175","Washington, DC",0,1,
"LAT: 40.30003, LON: -79.81471","Boston, PA",2.349e-06,2,
"LAT: 28.47280, LON: -81.47340","Orlando, FL",0,1,
"LAT: 28.41630, LON: -81.58050","Florida, USA",0,1,
"LAT: 38.89016, LON: -76.97163","Washington, DC",2.349e-06,2,
"LAT: 40.78583, LON: -74.00944","West New York, NJ",0,1,
"LAT: 26.06210, LON: -80.16756","Dania Beach, FL",2.349e-06,2,
"LAT: 34.11965, LON: -117.65887","Upland, CA",0,1,
"LAT: 40.75652, LON: -73.98677","Manhattan, NY",0,1,
"LAT: 40.77790, LON: -73.96750","Manhattan, NY",2.349e-06,2,
"LAT: 40.75851, LON: -73.98322","Manhattan, NY",0,1,
"LAT: 24.86000, LON: 67.01000","Karachi, Pakistan",0,1,
"LAT: 38.92500, LON: -77.03000","Washington, DC",0,1,
"LAT: 38.89285, LON: -77.04047","Washington, DC",0,1,
"LAT: 28.35645, LON: -81.56012","Florida, USA",0,1,
"LAT: 38.88450, LON: -77.17620","Falls Church, VA",0,1,
"LAT: 26.65510, LON: -80.25410","Wellington, FL",0,1,
"LAT: 35.19006, LON: -80.90869","Charlotte, NC",2.349e-06,2,
"LAT: 24.73701, LON: 46.57491","Riyadh, Kingdom of Saudi Arabia",0,1,
"LAT: 34.05220, LON: -118.24300","Los Angeles, CA",4.699e-06,4,
"LAT: 39.00090, LON: -76.87690","Greenbelt, MD",0,1,
"LAT: 40.74458, LON: -73.98871","Manhattan, NY",0,1,
"LAT: 14.63330, LON: -88.13330",Honduras,0,1,
"LAT: 38.89928, LON: -77.04713","Washington, DC",0,1,
"LAT: 38.88962, LON: -77.02298","Washington, DC",0,1,
"LAT: 38.96062, LON: -77.08502","Washington, DC",0,1,
"LAT: 38.89280, LON: -77.01307","Washington, DC",0,1,
"LAT: 38.78090, LON: -77.01790","Fort Washington, MD",2.349e-06,2,
"LAT: 32.06670, LON: 34.76670",Israel,2.349e-06,2,
"LAT: 30.45170, LON: -84.26850","Tallahassee, FL",4.699e-06,4,
"LAT: 27.90056, LON: -82.49806","Tampa, FL",0,1,
"LAT: 37.41937, LON: -122.21234","Menlo Park, CA",0,1,
"LAT: 35.25647, LON: -80.98465","Charlotte, NC",2.349e-06,2,
"LAT: 45.26990, LON: -111.30000","Montana, USA",0,1,
"LAT: 26.30400, LON: -80.26900","Florida, USA",5.873e-06,5,
"LAT: 38.91905, LON: -77.01704","Washington, DC",2.349e-06,2,
"LAT: 40.74528, LON: -74.00222","Manhattan, NY",2.349e-06,2,
"LAT: 38.90040, LON: -76.99815","Washington, DC",0,1,
"LAT: 33.98688, LON: -118.47363","Los Angeles, CA",0,1,
"LAT: 31.53330, LON: 35.09500","LAT: 31.53330, LON: 35.09500",0,1,
"LAT: 38.98255, LON: -77.09675","Bethesda, MD",0,1,
"LAT: 38.96940, LON: -77.07890","Chevy Chase Village, MD",0,1,
"LAT: 38.89056, LON: -77.00444","Washington, DC",0,1,
"LAT: 26.12435, LON: -80.24950","Plantation, FL",2.349e-06,2,
"LAT: 38.89540, LON: -77.00960","Washington, DC",0,1,
"LAT: 26.31540, LON: -80.24040","Parkland, FL",3.524e-06,3,
"LAT: 26.13877, LON: -80.20032","Lauderhill, FL",2.349e-06,2,
"LAT: 38.88642, LON: -76.99647","Washington, DC",0,1,
"LAT: 26.18333, LON: 50.58333",Bahrain,0,1,
"LAT: 13.54706, LON: 100.27517","Samut Sakhon, Thailand",0,1,
"LAT: 38.80576, LON: -77.08235","Alexandria, VA",0,1,
"LAT: 38.91535, LON: -77.04143","Washington, DC",0,1,
"LAT: 39.07885, LON: -76.92078","Konterra, MD",2.349e-06,2,
"LAT: 38.89306, LON: -77.00417","Washington, DC",0,1,
"LAT: 37.66756, LON: 128.70645","Pyeongchang-gun, Republic of Korea",0,1,
"LAT: 38.87326, LON: -77.00758","Washington, DC",0,1,
"LAT: 38.88030, LON: -77.10830","Arlington, VA",0,1,
"LAT: 44.11250, LON: -73.92390","New York, USA",0,1,
"LAT: 44.35300, LON: -73.85572","New York, USA",0,1,
"LAT: 42.15011, LON: -73.77457","New York, USA",0,1,
"LAT: 40.76251, LON: -73.97513","Manhattan, NY",0,1,
"LAT: 42.34165, LON: -71.16762","Boston, MA",0,1,
"LAT: 36.56922, LON: -121.94550","Del Monte Forest, CA",9.397e-06,8,
"LAT: 37.58631, LON: 126.97480","Seoul, Republic of Korea",0,1,
"LAT: 36.13850, LON: -81.73150","North Carolina, USA",0,1,
"LAT: 39.01572, LON: -94.70405","Merriam, KS",2.349e-06,2,
"LAT: 39.08270, LON: -94.58164","Kansas City, MO",0,1,
"LAT: 38.92414, LON: -94.56976","Kansas City, MO",0,1,
"LAT: 38.91089, LON: -77.03595","Washington, DC",0,1,
"LAT: 40.75154, LON: -73.98123","Manhattan, NY",0,1,
"LAT: 44.97354, LON: -93.25751","Minneapolis, MN",2.349e-06,2,
"LAT: 28.60840, LON: -80.60430","Florida, USA",0,1,
"LAT: 40.80903, LON: -73.94837","Manhattan, NY",0,1,
"LAT: 38.93900, LON: -77.08218","Washington, DC",0,1,
"LAT: 38.92865, LON: -77.01551","Washington, DC",0,1,
"LAT: 38.90977, LON: -77.00554","Washington, DC",0,1,
"LAT: 36.88570, LON: -76.25990","Norfolk, VA",0,1,
"LAT: 38.59275, LON: -78.38067","Virginia, USA",0,1,
"LAT: 38.94656, LON: -77.39062","Reston, VA",0,1,
"LAT: 38.94662, LON: -77.39067","Reston, VA",0,1,
"LAT: 38.94671, LON: -77.39075","Reston, VA",0,1,
"LAT: 38.94699, LON: -77.39042","Reston, VA",0,1,
"LAT: 40.76438, LON: -73.98110","Manhattan, NY",0,1,
"LAT: 37.78612, LON: -80.30842","White Sulphur Springs, WV",0,1,
"LAT: 38.91453, LON: -77.02169","Washington, DC",0,1,
"LAT: 38.06990, LON: -78.70160","Crozet, VA",3.524e-06,3,
"LAT: 24.15780, LON: 121.67960",Taiwan,0,1,
"LAT: 38.99694, LON: -76.84833","Goddard, MD",0,1,
"LAT: 25.86429, LON: -80.12104","Miami Beach, FL",0,1,
"LAT: 25.83345, LON: -80.18775","Miami, FL",0,1,
"LAT: 44.31813, LON: -96.77927","Brookings, SD",0,1,
"LAT: 40.76247, LON: -73.97491","Manhattan, NY",0,1,
"LAT: 38.90032, LON: -77.00669","Washington, DC",0,1,
"LAT: 38.87364, LON: -77.00076","Washington, DC",0,1,
"LAT: 37.42760, LON: -122.16700","Stanford, CA",0,1,
"LAT: 44.98000, LON: -93.26360","Minneapolis, MN",0,1,
"LAT: 32.00000, LON: -6.00000","Tilougguite, Royaume du Maroc",0,1,
"LAT: 34.04350, LON: -5.00320","Agdal, Royaume du Maroc",0,1,
"LAT: 34.03330, LON: -5.00000","Agdal, Royaume du Maroc",0,1,
"LAT: 40.21890, LON: -74.75420","Trenton, NJ",0,1,
"LAT: 38.90103, LON: -77.02145","Washington, DC",0,1,
"LAT: 31.51306, LON: -9.76972","Essaouira, Royaume du Maroc",0,1,
"LAT: 31.63330, LON: -8.00000","Gueliz, Royaume du Maroc",0,1,
"LAT: 38.89958, LON: -77.04682","Washington, DC",0,1,
"LAT: 38.91640, LON: -77.04140","Washington, DC",0,1,
"LAT: 38.89557, LON: -77.00985","Washington, DC",0,1,
"LAT: 29.96654, LON: -90.03773","New Orleans, LA",0,1,
"LAT: 29.95982, LON: -90.06292","New Orleans, LA",0,1,
"LAT: 29.96388, LON: -90.05781","New Orleans, LA",0,1,
"LAT: 38.89863, LON: -77.03647","Washington, DC",0,1,
"LAT: 41.97412, LON: -87.66837","Chicago, IL",0,1,
"LAT: 45.50880, LON: -73.58780","Montréal, Québec",0,1,
"LAT: 39.10306, LON: -94.42134","Independence, MO",0,1,
"LAT: 37.61698, LON: -122.38428","California, USA",0,1,
"LAT: 40.42505, LON: -79.88775","Edgewood, PA",0,1,
"LAT: 33.65382, LON: -117.99526","Huntington Beach, CA",0,1,
"LAT: 37.10131, LON: 127.13558","Yongin-si, Republic of Korea",0,1,
"LAT: 42.07180, LON: -87.69521","Wilmette, IL",0,1,
"LAT: 20.66309, LON: -88.54787","Tinum, Yucatán",0,1,
"LAT: 20.68306, LON: -88.56861","Tinum, Yucatán",0,1,
"LAT: 20.68327, LON: -87.02876","Solidaridad, Quintana Roo",0,1,
"LAT: 36.99657, LON: 126.81053","Pyeongtaek-si, Republic of Korea",0,1,
"LAT: 33.99415, LON: -118.47987","Los Angeles, CA",0,1,
"LAT: 38.97185, LON: -76.77473","Woodmore, MD",0,1,
"LAT: 38.85261, LON: -77.30438","Fairfax, VA",0,1,
